onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	9.575	2_true_affirm	1.0	0.653	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
9.575	10.398	3_true_affirm	1.0	1.1	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
19.973	10.967	3_false_negate	1.0	1.662	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
30.94	12.251	2_false_affirm	1.0	2.532	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
43.191	10.83	3_false_affirm	1.0	1.985	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
54.021	4.521	control	1.0	0.82	n/a	n/a	n/a	n/a	n/a
58.542	10.392000000000001	3_true_affirm	1.0	1.4680000000000002	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
68.934	11.509	3_true_affirm	1.0	1.804	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
80.443	12.139000000000001	3_true_negate	1.0	2.428	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
92.58200000000001	11.991	3_false_negate	0.0	2.325	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
104.573	4.532	control	1.0	1.217	n/a	n/a	n/a	n/a	n/a
109.105	10.664000000000001	2_true_affirm	1.0	1.423	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
119.76899999999999	3.938	control	1.0	0.6609999999999999	n/a	n/a	n/a	n/a	n/a
123.70700000000001	12.595	3_true_negate	0.0	3.344	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
136.30200000000002	3.46	control	1.0	0.628	n/a	n/a	n/a	n/a	n/a
139.762	4.229	control	1.0	0.612	n/a	n/a	n/a	n/a	n/a
143.991	4.413	control	1.0	0.725	n/a	n/a	n/a	n/a	n/a
148.404	12.589	2_true_affirm	1.0	2.859	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
160.993	10.95	2_true_affirm	1.0	1.242	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
171.94299999999998	11.417	2_true_negate	1.0	2.576	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
183.36	3.932	control	1.0	0.637	n/a	n/a	n/a	n/a	n/a
187.292	10.523	3_true_affirm	1.0	1.21	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
197.815	11.187999999999999	2_false_affirm	1.0	2.349	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
209.003	3.427	control	1.0	0.564	n/a	n/a	n/a	n/a	n/a
212.43	9.826	2_true_affirm	1.0	0.9209999999999999	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
222.25599999999997	10.769	2_false_negate	1.0	1.5219999999999998	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
233.025	3.4360000000000004	control	1.0	0.632	n/a	n/a	n/a	n/a	n/a
