onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	12.106	2_true_negate	1.0	2.8480000000000003	Fay is taller than Lou	Lou is taller than Ann	Ann is taller than Red	Red is not taller than Fay	Fay_3_true_negate.wav
12.106	4.937	control	1.0	1.222	n/a	n/a	n/a	n/a	n/a
17.043	13.179	2_true_affirm	1.0	3.4560000000000004	Flo is faster than Ken	Ken is faster than Van	Van is faster than Pam	Flo is faster than Van	Flo_2_true_affirm.wav
30.222	11.656	2_false_negate	1.0	2.004	Dot is older than Emm	Emm is older than Lug	Lug is older than Gil	Dot is not older than Gil 	Dot_3_false_negate.wav
41.878	4.384	control	1.0	1.475	n/a	n/a	n/a	n/a	n/a
46.262	10.978	2_false_negate	0.0	2.0780000000000003	Gil is older than Cam	Cam is older than Jen	Jen is older than Ebb	Gil is not older than Jen	Gil_2_false_negate.wav
57.24	16.907	2_false_affirm	0.0	n/a	Joy is taller than Ken	Ken is taller than Wes	Wes is taller than Lee	Wes is taller than Joy	Joy_2_false_affirm.wav
74.14699999999998	12.002	2_true_affirm	0.0	3.068	Lin is shorter than May	May is shorter than Roy	Roy is shorter than Jef	Lin is shorter than Roy	Lin_2_true_affirm.wav
86.149	17.695	2_true_affirm	0.0	n/a	Mal is younger than Sol	Sol is younger than Red	Red is younger than Lee	Mal is younger than Red	Mal_2_true_affirm.wav
103.844	11.13	2_true_affirm	1.0	1.821	Jen is faster than Lou	Lou is faster than Rob	Rob is faster than Fin	Jen is faster than Rob	Jen_2_true_affirm.wav
114.974	11.921	2_true_affirm	1.0	2.583	Kai is bigger than Rey	Rey is bigger than Lon	Lon is bigger than Sal	Kai is bigger than Sal 	Kai_3_true_affirm.wav
126.895	12.657	2_false_negate	0.0	2.946	Mac is older than Flo	Flo is older than Ray	Edd is older than Mac	Mac is not older than Ray	Mac_2_false_negate.wav
139.55200000000002	12.808	2_true_affirm	1.0	3.159	Ken is younger than Gil	Gil is younger than Bab	Bab is younger than Ell	Ken is younger than Ell 	Ken_3_true_affirm.wav
152.36	3.61	control	1.0	0.331	n/a	n/a	n/a	n/a	n/a
155.97	17.637	2_false_affirm	0.0	n/a	Ike is shorter than Bob	Bob is shorter than Jon	Jon is shorter than Lex	Lex is shorter than Ike	Ike_3_false_affirm.wav
173.607	3.627	control	1.0	0.402	n/a	n/a	n/a	n/a	n/a
177.234	3.277	control	1.0	0.466	n/a	n/a	n/a	n/a	n/a
180.511	4.012	control	1.0	0.383	n/a	n/a	n/a	n/a	n/a
184.523	4.095	control	1.0	0.418	n/a	n/a	n/a	n/a	n/a
188.618	17.308	2_true_affirm	0.0	n/a	Cam is smaller than Ike	Ike is smaller than Bob	Bob is smaller than Doc	Cam is smaller than Doc	Cam_3_true_affirm.wav
205.926	11.779000000000002	2_false_affirm	0.0	2.859	Moe is younger than Liz	Liz is younger than Gus	Gus is younger than Ben	Ben is younger than Moe	Moe_3_false_affirm.wav
217.705	17.236	2_true_negate	0.0	n/a	Jep is shorter than Lon	Lon is shorter than Nat	Nat is shorter than Ace 	Ace is not shorter than Jep	Jep_3_true_negate.wav
234.941	3.3760000000000003	control	1.0	0.458	n/a	n/a	n/a	n/a	n/a
238.317	13.942	2_true_negate	1.0	4.698	Fil is faster than Luk	Luk is faster than Dan	Dan is faster than Ace	Dan is not faster than Fil	Fil_2_true_negate.wav
252.259	3.695	control	1.0	0.391	n/a	n/a	n/a	n/a	n/a
255.954	16.898	2_true_affirm	0.0	n/a	Dre is taller than Kay	Kay is taller than Lug	Lug is taller than Joi	Dre is taller than Joi	Dre_3_true_affirm.wav
272.85200000000003	11.579	2_true_affirm	1.0	2.737	Don is slower than Jan	Jan is slower than Val	Val is slower than Mac	Don is slower than Val	Don_2_true_affirm2.wav
