onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.535	2_true_affirm	1.0	1.626	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.535	11.592	3_true_affirm	1.0	2.27	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
22.127	11.068	3_false_negate	1.0	1.743	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
33.195	12.092	2_false_affirm	0.0	2.35	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
45.287	16.840999999999998	3_false_affirm	0.0	n/a	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
62.128	7.295	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
69.423	11.244000000000002	3_true_affirm	1.0	2.315	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
80.667	17.689	3_true_affirm	0.0	n/a	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
98.35600000000001	12.114	3_true_negate	1.0	2.387	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
110.47	17.639	3_false_negate	0.0	n/a	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
128.109	3.8110000000000004	control	1.0	0.519	n/a	n/a	n/a	n/a	n/a
131.92	17.236	2_true_affirm	0.0	n/a	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
149.156	4.865	control	1.0	1.598	n/a	n/a	n/a	n/a	n/a
154.02100000000002	12.921	3_true_negate	1.0	3.6719999999999997	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
166.942	5.617000000000001	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
172.55900000000003	6.502999999999999	control	1.0	2.863	n/a	n/a	n/a	n/a	n/a
179.062	7.281000000000001	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
186.343	13.082	2_true_affirm	1.0	3.3539999999999996	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
199.425	17.706	2_true_affirm	0.0	n/a	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
217.13099999999997	12.565999999999999	2_true_negate	1.0	3.7310000000000003	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
229.697	4.4110000000000005	control	1.0	1.117	n/a	n/a	n/a	n/a	n/a
234.108	17.313	3_true_affirm	0.0	n/a	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
251.421	11.642999999999999	2_false_affirm	1.0	2.778	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
263.064	5.678	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
268.742	16.916	2_true_affirm	0.0	n/a	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
285.658	17.242	2_false_negate	0.0	n/a	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
302.9	5.609	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
