onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	14.171	2_false_affirm	0.0	5.265	Ned is slower than Max	Max is slower than Sam	Sam is slower than Rob	Sam is slower than Ned	Ned_2_false_affirm.wav
14.171	12.88	2_false_affirm	0.0	3.628	Nat is smaller than Rex	Rex is smaller than Bud	Bud is smaller than Doc	Doc is smaller than Nat	Nat_3_false_affirm.wav
27.051	4.835	control	1.0	1.534	n/a	n/a	n/a	n/a	n/a
31.886	12.860999999999999	2_true_affirm	0.0	3.963	Abe is taller than Ben	Ben is taller than Edd	Edd is taller than Fay	Abe is taller than Edd	Abe_2_true_affirm.wav
44.747	14.263	2_true_negate	1.0	4.534	Tai is shorter than Rex	Rex is shorter than Van	Van is shorter than Sol	Sol is not shorter than Tai	Tai_3_true_negate.wav
59.01	11.655999999999999	2_true_affirm	1.0	2.801	Lex is shorter than Jon	Jon is shorter than Moe	Moe is shorter than Nat	Lex is shorter than Nat	Lex_3_true_affirm.wav
70.666	3.452	control	1.0	0.5579999999999999	n/a	n/a	n/a	n/a	n/a
74.118	14.669	2_true_affirm	1.0	5.018	Don is younger than Lee	Lee is younger than Mac	Mac is younger than Tom	Don is younger than Mac	Don_2_true_affirm.wav
88.787	4.162	control	1.0	0.5379999999999999	n/a	n/a	n/a	n/a	n/a
92.949	3.822	control	1.0	0.526	n/a	n/a	n/a	n/a	n/a
96.771	17.703	2_false_negate	0.0	n/a	Bee is younger than Ted	Ted is younger than Rae	Rae is younger than Jon	Bee is not younger than Jon	Bee_3_false_negate.wav
114.47399999999999	13.998	2_true_affirm	1.0	4.331	Ebb is bigger than Pit	Pit is bigger than Ann	Ann is bigger than Ebb	Ebb is bigger than Ann	Ebb_2_true_affirm.wav
128.472	4.185	control	1.0	0.514	n/a	n/a	n/a	n/a	n/a
132.657	13.719000000000001	2_true_affirm	1.0	4.4719999999999995	Jep is older than Nan	Nan is older than Lem	Lem is older than Sue	Jep is older than Sue	Jep_3_true_affirm.wav
146.376	3.409	control	1.0	0.518	n/a	n/a	n/a	n/a	n/a
149.785	11.671	2_false_negate	1.0	2.3480000000000003	Dre is faster than Sue	Sue is faster than Ike	Ike is faster than Don	Dre is not faster than Ike	Dre_2_false_negate.wav
161.45600000000002	11.504000000000001	2_false_affirm	1.0	2.5789999999999997	Don is bigger than Abe	Abe is bigger than Pam	Pam is bigger than Rex	Pam is bigger than Don	Don_2_false_affirm.wav
172.96	11.614	2_true_affirm	1.0	2.7769999999999997	Don is faster than Max	Max is faster than Dee	Dee is faster than Sky	Don is faster than Sky	Don_3_true_affirm.wav
184.574	4.313	control	1.0	1.082	n/a	n/a	n/a	n/a	n/a
188.887	3.31	control	1.0	0.48	n/a	n/a	n/a	n/a	n/a
192.197	4.356	control	1.0	0.6509999999999999	n/a	n/a	n/a	n/a	n/a
196.553	12.867	2_true_affirm	1.0	3.154	Joy is bigger than Gus	Gus is bigger than Ace	Ace is bigger than Kim	Joy is bigger than Kim	Joy_3_true_affirm.wav
209.42	11.113	2_true_affirm	1.0	1.7830000000000001	Wes is older than Pam	Pam is older than Tim	Tim is older than Wes	Wes is older than Tim	Wes_2_true_affirm.wav
220.533	11.618	2_true_negate	0.0	2.31	Dan is slower than Van	Van is slower than Luz	Luz is slower than Bev	Luz is not slower than Dan	Dan_2_true_negate.wav
232.15099999999998	11.526	2_true_negate	1.0	2.807	Ron is smaller than Sam	Sam is smaller than Ace	Ace is smaller than Joe	Ace is not smaller than Ron	Ron_2_true_negate.wav
243.67700000000002	11.474	2_false_negate	0.0	2.559	Tim is faster than Eve	Eve is faster than Fay	Fay is faster than Sam	Tim is not faster than Sam	Tim_3_false_negate.wav
255.15099999999998	11.192	2_true_affirm	1.0	1.959	Bud is slower than Joe	Joe is slower than Liz	Liz is slower than Rex	Bud is slower than Rex	Bud_3_true_affirm.wav
