onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	11.139000000000001	2_true_affirm	1.0	1.383	All trabs are fast	All fast things are brown	Abe is a trab	Abe is fast	TRAB_2_true_affirm.wav
11.139000000000001	10.837	3_true_affirm	1.0	1.089	All hofs are black	All black things are fast	Doc is a hof	Doc is fast	HOF_3_true_affirm.wav
21.976	10.264000000000001	3_true_affirm	1.0	0.9490000000000001	All jasps are small	All small things are blue	Jen is a jasp	Jen is blue	JASP_3_true_affirm.wav
32.24	10.522	2_true_affirm	1.0	1.175	All nasps are young	All young things are red	Wes is a nasp	Wes is young 	NASP_2_true_affirm.wav
42.762	11.116	3_true_negate	1.0	1.415	All drups are white	All white things are young	Moe is not white	Moe is not a drup	DRUP_3_true_negate.wav
53.878	10.675	2_false_negate	1.0	1.767	All goms are black	All black things are fast	Max is not a gom	Max is not black	GOM_2_false_negate.wav
64.553	10.425	3_false_affirm	1.0	1.571	All gofs are red	All red things are small	Ned is not small	Ned is a gof	GOF_3_false_affirm.wav
74.97800000000001	3.721	control	1.0	0.8270000000000001	n/a	n/a	n/a	n/a	n/a
78.699	10.639000000000001	2_true_negate	1.0	1.382	All dreefs are red	All red things are short	Eve is not red	Eve is not a dreef	DREEF_2_true_negate.wav
89.338	3.5780000000000003	control	1.0	0.755	n/a	n/a	n/a	n/a	n/a
92.916	4.14	control	1.0	0.439	n/a	n/a	n/a	n/a	n/a
97.056	11.495	2_false_affirm	1.0	2.194	All karns are big	All big things are brown	Nat is not big	Nat is a karn	KARN_2_false_affirm.wav
108.551	10.565	3_true_affirm	1.0	1.222	All larns are white	All white things are tall	Bud is a larn	Bud is tall	LARN_3_true_affirm.wav
119.116	11.502	3_false_negate	1.0	1.79	All gorns are blue	All blue things are fast	Cam is not a gorn	Cam is not fast 	GORN_3_false_negate.wav
130.618	9.888	2_true_affirm	1.0	0.9620000000000001	All blons are pink	All pink things are young	Ken is a blon	Ken is pink  	BLON_2_true_affirm.wav
140.506	9.882	3_true_affirm	1.0	1.028	All keefs are white	All white things are small	Jay is a keef	Jay is small	KEEF_3_true_affirm.wav
150.388	3.661	control	1.0	0.848	n/a	n/a	n/a	n/a	n/a
154.049	3.783	control	1.0	0.43700000000000006	n/a	n/a	n/a	n/a	n/a
157.832	10.761	3_false_affirm	1.0	1.5319999999999998	All rabs are old	All old things are blue	Sam is not blue	Sam is a rab	RAB_3_false_affirm.wav
168.593	4.296	control	1.0	1.063	n/a	n/a	n/a	n/a	n/a
172.889	3.7110000000000003	control	1.0	0.474	n/a	n/a	n/a	n/a	n/a
176.6	4.118	control	1.0	0.425	n/a	n/a	n/a	n/a	n/a
180.718	9.78	3_true_affirm	1.0	0.882	All puds are red	All red things are old	Roy is a pud	Roy is old 	PUD_3_true_affirm.wav
190.498	10.693	2_true_affirm	1.0	0.972	All nogs are young 	All young things are black	Rob is a nog	Rob is young	NOG_2_true_affirm.wav
201.19099999999997	11.936	2_true_negate	1.0	2.2969999999999997	All babs are slow	All slow things are blue	Joe is not slow	Joe is not a bab	BAB_2_true_negate.wav
213.127	4.935	control	1.0	1.263	n/a	n/a	n/a	n/a	n/a
218.062	9.867	2_false_negate	1.0	1.02	All sarns are old	All old things are white	Flo is a sarn	Flo is not old	SARN_2_false_negate.wav
