onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.309000000000001	2_true_affirm	1.0	1.385	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.309000000000001	10.532	3_true_affirm	1.0	1.2209999999999999	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
20.840999999999998	11.318	3_false_negate	1.0	2.012	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
32.159	12.017000000000001	2_false_affirm	1.0	2.319	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
44.176	11.232999999999999	3_false_affirm	1.0	2.377	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
55.409	4.285	control	1.0	0.611	n/a	n/a	n/a	n/a	n/a
59.693999999999996	10.517999999999999	3_true_affirm	1.0	1.611	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
70.212	11.967	3_true_affirm	1.0	2.254	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
82.179	12.640999999999998	3_true_negate	1.0	2.932	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
94.82	12.645	3_false_negate	0.0	2.978	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
107.465	5.162999999999999	control	1.0	1.895	n/a	n/a	n/a	n/a	n/a
112.62799999999999	11.704	2_true_affirm	1.0	2.464	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
124.33200000000001	3.8169999999999997	control	1.0	0.54	n/a	n/a	n/a	n/a	n/a
128.149	11.395	3_true_negate	1.0	2.146	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
139.54399999999998	3.695	control	1.0	0.877	n/a	n/a	n/a	n/a	n/a
143.239	4.162	control	1.0	0.535	n/a	n/a	n/a	n/a	n/a
147.401	4.184	control	1.0	0.5	n/a	n/a	n/a	n/a	n/a
151.585	12.556	2_true_affirm	1.0	2.87	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
164.141	12.460999999999999	2_true_affirm	1.0	2.752	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
176.602	11.087	2_true_negate	1.0	2.241	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
187.68900000000002	4.729	control	1.0	1.449	n/a	n/a	n/a	n/a	n/a
192.418	11.960999999999999	3_true_affirm	1.0	2.634	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
204.37900000000002	10.792	2_false_affirm	1.0	1.933	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
215.171	3.613	control	1.0	0.7609999999999999	n/a	n/a	n/a	n/a	n/a
218.78400000000002	11.129000000000001	2_true_affirm	1.0	2.25	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
229.91299999999998	11.335999999999999	2_false_negate	1.0	2.1	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
241.24900000000002	3.553	control	1.0	0.732	n/a	n/a	n/a	n/a	n/a
