onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	12.251	2_true_negate	1.0	2.995	Fay is taller than Lou	Lou is taller than Ann	Ann is taller than Red	Red is not taller than Fay	Fay_3_true_negate.wav
12.251	4.442	control	1.0	0.755	n/a	n/a	n/a	n/a	n/a
16.692999999999998	11.634	2_true_affirm	1.0	1.896	Flo is faster than Ken	Ken is faster than Van	Van is faster than Pam	Flo is faster than Van	Flo_2_true_affirm.wav
28.327	12.409	2_false_negate	1.0	2.754	Dot is older than Emm	Emm is older than Lug	Lug is older than Gil	Dot is not older than Gil 	Dot_3_false_negate.wav
40.736	3.548	control	1.0	0.638	n/a	n/a	n/a	n/a	n/a
44.284	13.992	2_false_negate	1.0	5.07	Gil is older than Cam	Cam is older than Jen	Jen is older than Ebb	Gil is not older than Jen	Gil_2_false_negate.wav
58.276	11.354	2_false_affirm	1.0	2.4530000000000003	Joy is taller than Ken	Ken is taller than Wes	Wes is taller than Lee	Wes is taller than Joy	Joy_2_false_affirm.wav
69.63	10.9	2_true_affirm	1.0	1.989	Lin is shorter than May	May is shorter than Roy	Roy is shorter than Jef	Lin is shorter than Roy	Lin_2_true_affirm.wav
80.53	11.74	2_true_affirm	1.0	2.005	Mal is younger than Sol	Sol is younger than Red	Red is younger than Lee	Mal is younger than Red	Mal_2_true_affirm.wav
92.27	11.23	2_true_affirm	1.0	1.932	Jen is faster than Lou	Lou is faster than Rob	Rob is faster than Fin	Jen is faster than Rob	Jen_2_true_affirm.wav
103.5	11.489	2_true_affirm	1.0	2.17	Kai is bigger than Rey	Rey is bigger than Lon	Lon is bigger than Sal	Kai is bigger than Sal 	Kai_3_true_affirm.wav
114.989	13.424	2_false_negate	1.0	3.719	Mac is older than Flo	Flo is older than Ray	Edd is older than Mac	Mac is not older than Ray	Mac_2_false_negate.wav
128.41299999999998	11.855	2_true_affirm	1.0	2.196	Ken is younger than Gil	Gil is younger than Bab	Bab is younger than Ell	Ken is younger than Ell 	Ken_3_true_affirm.wav
140.268	3.719	control	1.0	0.459	n/a	n/a	n/a	n/a	n/a
143.987	12.63	2_false_affirm	1.0	2.9810000000000003	Ike is shorter than Bob	Bob is shorter than Jon	Jon is shorter than Lex	Lex is shorter than Ike	Ike_3_false_affirm.wav
156.61700000000005	3.845	control	1.0	0.618	n/a	n/a	n/a	n/a	n/a
160.46200000000005	3.277	control	1.0	0.442	n/a	n/a	n/a	n/a	n/a
163.739	4.045	control	1.0	0.421	n/a	n/a	n/a	n/a	n/a
167.78400000000005	4.091	control	1.0	0.411	n/a	n/a	n/a	n/a	n/a
171.875	10.844	2_true_affirm	1.0	1.523	Cam is smaller than Ike	Ike is smaller than Bob	Bob is smaller than Doc	Cam is smaller than Doc	Cam_3_true_affirm.wav
182.719	10.38	2_false_affirm	1.0	1.461	Moe is younger than Liz	Liz is younger than Gus	Gus is younger than Ben	Ben is younger than Moe	Moe_3_false_affirm.wav
193.099	13.218	2_true_negate	0.0	3.962	Jep is shorter than Lon	Lon is shorter than Nat	Nat is shorter than Ace 	Ace is not shorter than Jep	Jep_3_true_negate.wav
206.317	3.364	control	1.0	0.4970000000000001	n/a	n/a	n/a	n/a	n/a
209.681	12.383	2_true_negate	1.0	3.137	Fil is faster than Luk	Luk is faster than Dan	Dan is faster than Ace	Dan is not faster than Fil	Fil_2_true_negate.wav
222.064	3.768	control	1.0	0.48	n/a	n/a	n/a	n/a	n/a
225.832	10.385	2_true_affirm	1.0	1.459	Dre is taller than Kay	Kay is taller than Lug	Lug is taller than Joi	Dre is taller than Joi	Dre_3_true_affirm.wav
236.217	10.162	2_true_affirm	1.0	1.334	Don is slower than Jan	Jan is slower than Val	Val is slower than Mac	Don is slower than Val	Don_2_true_affirm2.wav
