onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	17.23	2_true_negate	0.0	n/a	Fay is taller than Lou	Lou is taller than Ann	Ann is taller than Red	Red is not taller than Fay	Fay_3_true_negate.wav
17.23	4.332	control	1.0	0.6409999999999999	n/a	n/a	n/a	n/a	n/a
21.562	12.478	2_true_affirm	1.0	2.766	Flo is faster than Ken	Ken is faster than Van	Van is faster than Pam	Flo is faster than Van	Flo_2_true_affirm.wav
34.04	11.592	2_false_negate	1.0	1.945	Dot is older than Emm	Emm is older than Lug	Lug is older than Gil	Dot is not older than Gil 	Dot_3_false_negate.wav
45.632	3.638	control	1.0	0.722	n/a	n/a	n/a	n/a	n/a
49.27	10.761	2_false_negate	0.0	1.822	Gil is older than Cam	Cam is older than Jen	Jen is older than Ebb	Gil is not older than Jen	Gil_2_false_negate.wav
60.03100000000001	10.435	2_false_affirm	1.0	1.49	Joy is taller than Ken	Ken is taller than Wes	Wes is taller than Lee	Wes is taller than Joy	Joy_2_false_affirm.wav
70.46600000000002	11.534	2_true_affirm	1.0	2.61	Lin is shorter than May	May is shorter than Roy	Roy is shorter than Jef	Lin is shorter than Roy	Lin_2_true_affirm.wav
82.0	11.365	2_true_affirm	1.0	1.6369999999999998	Mal is younger than Sol	Sol is younger than Red	Red is younger than Lee	Mal is younger than Red	Mal_2_true_affirm.wav
93.365	10.612	2_true_affirm	1.0	1.314	Jen is faster than Lou	Lou is faster than Rob	Rob is faster than Fin	Jen is faster than Rob	Jen_2_true_affirm.wav
103.977	10.593	2_true_affirm	1.0	1.278	Kai is bigger than Rey	Rey is bigger than Lon	Lon is bigger than Sal	Kai is bigger than Sal 	Kai_3_true_affirm.wav
114.57	17.684	2_false_negate	0.0	n/a	Mac is older than Flo	Flo is older than Ray	Edd is older than Mac	Mac is not older than Ray	Mac_2_false_negate.wav
132.254	11.84	2_true_affirm	1.0	2.195	Ken is younger than Gil	Gil is younger than Bab	Bab is younger than Ell	Ken is younger than Ell 	Ken_3_true_affirm.wav
144.094	3.835	control	1.0	0.555	n/a	n/a	n/a	n/a	n/a
147.929	11.227	2_false_affirm	1.0	1.5659999999999998	Ike is shorter than Bob	Bob is shorter than Jon	Jon is shorter than Lex	Lex is shorter than Ike	Ike_3_false_affirm.wav
159.156	3.895	control	1.0	0.6709999999999999	n/a	n/a	n/a	n/a	n/a
163.05100000000004	3.21	control	1.0	0.388	n/a	n/a	n/a	n/a	n/a
166.261	4.012	control	1.0	0.384	n/a	n/a	n/a	n/a	n/a
170.273	4.058	control	1.0	0.362	n/a	n/a	n/a	n/a	n/a
174.331	11.538	2_true_affirm	1.0	2.221	Cam is smaller than Ike	Ike is smaller than Bob	Bob is smaller than Doc	Cam is smaller than Doc	Cam_3_true_affirm.wav
185.86900000000003	10.466	2_false_affirm	0.0	1.548	Moe is younger than Liz	Liz is younger than Gus	Gus is younger than Ben	Ben is younger than Moe	Moe_3_false_affirm.wav
196.335	17.235	2_true_negate	0.0	n/a	Jep is shorter than Lon	Lon is shorter than Nat	Nat is shorter than Ace 	Ace is not shorter than Jep	Jep_3_true_negate.wav
213.57	3.466	control	1.0	0.58	n/a	n/a	n/a	n/a	n/a
217.036	12.582	2_true_negate	1.0	3.323	Fil is faster than Luk	Luk is faster than Dan	Dan is faster than Ace	Dan is not faster than Fil	Fil_2_true_negate.wav
229.618	3.798	control	1.0	0.509	n/a	n/a	n/a	n/a	n/a
233.416	10.31	2_true_affirm	1.0	1.415	Dre is taller than Kay	Kay is taller than Lug	Lug is taller than Joi	Dre is taller than Joi	Dre_3_true_affirm.wav
243.726	10.323	2_true_affirm	1.0	1.479	Don is slower than Jan	Jan is slower than Val	Val is slower than Mac	Don is slower than Val	Don_2_true_affirm2.wav
