onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.665	2_true_affirm	1.0	0.9440000000000001	All trabs are fast	All fast things are brown	Abe is a trab	Abe is fast	TRAB_2_true_affirm.wav
10.665	11.421	3_true_affirm	1.0	1.706	All hofs are black	All black things are fast	Doc is a hof	Doc is fast	HOF_3_true_affirm.wav
22.086	10.774000000000001	3_true_affirm	0.0	1.479	All jasps are small	All small things are blue	Jen is a jasp	Jen is blue	JASP_3_true_affirm.wav
32.86	11.298	2_true_affirm	1.0	1.9780000000000002	All nasps are young	All young things are red	Wes is a nasp	Wes is young 	NASP_2_true_affirm.wav
44.158	12.186	3_true_negate	1.0	2.498	All drups are white	All white things are young	Moe is not white	Moe is not a drup	DRUP_3_true_negate.wav
56.343999999999994	12.110999999999999	2_false_negate	1.0	3.207	All goms are black	All black things are fast	Max is not a gom	Max is not black	GOM_2_false_negate.wav
68.455	12.642999999999999	3_false_affirm	1.0	3.7969999999999997	All gofs are red	All red things are small	Ned is not small	Ned is a gof	GOF_3_false_affirm.wav
81.098	4.8180000000000005	control	1.0	1.9369999999999998	n/a	n/a	n/a	n/a	n/a
85.916	11.331	2_true_negate	1.0	2.077	All dreefs are red	All red things are short	Eve is not red	Eve is not a dreef	DREEF_2_true_negate.wav
97.24700000000001	3.845	control	1.0	1.0190000000000001	n/a	n/a	n/a	n/a	n/a
101.09200000000001	4.158	control	1.0	0.466	n/a	n/a	n/a	n/a	n/a
105.25	12.155	2_false_affirm	1.0	2.8310000000000004	All karns are big	All big things are brown	Nat is not big	Nat is a karn	KARN_2_false_affirm.wav
117.405	11.81	3_true_affirm	0.0	2.49	All larns are white	All white things are tall	Bud is a larn	Bud is tall	LARN_3_true_affirm.wav
129.215	13.782	3_false_negate	1.0	4.052	All gorns are blue	All blue things are fast	Cam is not a gorn	Cam is not fast 	GORN_3_false_negate.wav
142.997	10.389000000000001	2_true_affirm	1.0	1.479	All blons are pink	All pink things are young	Ken is a blon	Ken is pink  	BLON_2_true_affirm.wav
153.386	12.283	3_true_affirm	1.0	3.452	All keefs are white	All white things are small	Jay is a keef	Jay is small	KEEF_3_true_affirm.wav
165.669	3.51	control	1.0	0.691	n/a	n/a	n/a	n/a	n/a
169.179	3.82	control	1.0	0.5329999999999999	n/a	n/a	n/a	n/a	n/a
172.99900000000002	12.128	3_false_affirm	1.0	2.8760000000000003	All rabs are old	All old things are blue	Sam is not blue	Sam is a rab	RAB_3_false_affirm.wav
185.127	4.096	control	1.0	0.8590000000000001	n/a	n/a	n/a	n/a	n/a
189.22299999999998	3.677	control	1.0	0.45899999999999996	n/a	n/a	n/a	n/a	n/a
192.9	4.188	control	1.0	0.518	n/a	n/a	n/a	n/a	n/a
197.088	10.197000000000001	3_true_affirm	1.0	1.278	All puds are red	All red things are old	Roy is a pud	Roy is old 	PUD_3_true_affirm.wav
207.285	11.261	2_true_affirm	1.0	1.5590000000000002	All nogs are young 	All young things are black	Rob is a nog	Rob is young	NOG_2_true_affirm.wav
218.546	11.130999999999998	2_true_negate	1.0	1.489	All babs are slow	All slow things are blue	Joe is not slow	Joe is not a bab	BAB_2_true_negate.wav
229.67700000000002	4.421	control	1.0	0.7340000000000001	n/a	n/a	n/a	n/a	n/a
234.09799999999998	11.652000000000001	2_false_negate	1.0	2.803	All sarns are old	All old things are white	Flo is a sarn	Flo is not old	SARN_2_false_negate.wav
