onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	14.934	2_true_negate	0.0	5.698	Fay is taller than Lou	Lou is taller than Ann	Ann is taller than Red	Red is not taller than Fay	Fay_3_true_negate.wav
14.934	4.222	control	1.0	0.539	n/a	n/a	n/a	n/a	n/a
19.156	11.885	2_true_affirm	1.0	2.169	Flo is faster than Ken	Ken is faster than Van	Van is faster than Pam	Flo is faster than Van	Flo_2_true_affirm.wav
31.041	17.644000000000005	2_false_negate	0.0	n/a	Dot is older than Emm	Emm is older than Lug	Lug is older than Gil	Dot is not older than Gil 	Dot_3_false_negate.wav
48.685	3.466	control	1.0	0.573	n/a	n/a	n/a	n/a	n/a
52.151	12.622	2_false_negate	0.0	3.695	Gil is older than Cam	Cam is older than Jen	Jen is older than Ebb	Gil is not older than Jen	Gil_2_false_negate.wav
64.773	16.916	2_false_affirm	0.0	n/a	Joy is taller than Ken	Ken is taller than Wes	Wes is taller than Lee	Wes is taller than Joy	Joy_2_false_affirm.wav
81.689	16.904	2_true_affirm	0.0	n/a	Lin is shorter than May	May is shorter than Roy	Roy is shorter than Jef	Lin is shorter than Roy	Lin_2_true_affirm.wav
98.593	13.378	2_true_affirm	1.0	3.655	Mal is younger than Sol	Sol is younger than Red	Red is younger than Lee	Mal is younger than Red	Mal_2_true_affirm.wav
111.971	15.121	2_true_affirm	1.0	5.81	Jen is faster than Lou	Lou is faster than Rob	Rob is faster than Fin	Jen is faster than Rob	Jen_2_true_affirm.wav
127.092	15.036	2_true_affirm	1.0	5.723	Kai is bigger than Rey	Rey is bigger than Lon	Lon is bigger than Sal	Kai is bigger than Sal 	Kai_3_true_affirm.wav
142.128	17.692999999999994	2_false_negate	0.0	n/a	Mac is older than Flo	Flo is older than Ray	Edd is older than Mac	Mac is not older than Ray	Mac_2_false_negate.wav
159.821	13.421	2_true_affirm	1.0	3.787	Ken is younger than Gil	Gil is younger than Bab	Bab is younger than Ell	Ken is younger than Ell 	Ken_3_true_affirm.wav
173.24200000000005	3.815	control	1.0	0.547	n/a	n/a	n/a	n/a	n/a
177.05700000000004	17.633	2_false_affirm	0.0	n/a	Ike is shorter than Bob	Bob is shorter than Jon	Jon is shorter than Lex	Lex is shorter than Ike	Ike_3_false_affirm.wav
194.69	3.728	control	1.0	0.503	n/a	n/a	n/a	n/a	n/a
198.418	3.326	control	1.0	0.502	n/a	n/a	n/a	n/a	n/a
201.74400000000003	4.146	control	1.0	0.505	n/a	n/a	n/a	n/a	n/a
205.89	4.167	control	1.0	0.477	n/a	n/a	n/a	n/a	n/a
210.057	17.282	2_true_affirm	0.0	n/a	Cam is smaller than Ike	Ike is smaller than Bob	Bob is smaller than Doc	Cam is smaller than Doc	Cam_3_true_affirm.wav
227.33900000000003	16.907	2_false_affirm	0.0	n/a	Moe is younger than Liz	Liz is younger than Gus	Gus is younger than Ben	Ben is younger than Moe	Moe_3_false_affirm.wav
244.246	11.594	2_true_negate	0.0	2.345	Jep is shorter than Lon	Lon is shorter than Nat	Nat is shorter than Ace 	Ace is not shorter than Jep	Jep_3_true_negate.wav
255.84	3.548	control	1.0	0.6579999999999999	n/a	n/a	n/a	n/a	n/a
259.388	17.230999999999998	2_true_negate	0.0	n/a	Fil is faster than Luk	Luk is faster than Dan	Dan is faster than Ace	Dan is not faster than Fil	Fil_2_true_negate.wav
276.619	3.848	control	1.0	0.555	n/a	n/a	n/a	n/a	n/a
280.467	14.796	2_true_affirm	1.0	5.8820000000000014	Dre is taller than Kay	Kay is taller than Lug	Lug is taller than Joi	Dre is taller than Joi	Dre_3_true_affirm.wav
295.263	13.009	2_true_affirm	1.0	4.1530000000000005	Don is slower than Jan	Jan is slower than Val	Val is slower than Mac	Don is slower than Val	Don_2_true_affirm2.wav
