onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.51	2_true_affirm	1.0	1.607	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.51	10.122	3_true_affirm	1.0	0.8320000000000001	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
20.631999999999998	11.392999999999999	3_false_negate	1.0	2.0669999999999997	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
32.025	11.975	2_false_affirm	0.0	2.267	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
44.0	11.297	3_false_affirm	0.0	2.461	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
55.297	4.263	control	1.0	0.585	n/a	n/a	n/a	n/a	n/a
59.56	10.192	3_true_affirm	1.0	1.2819999999999998	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
69.752	11.032	3_true_affirm	1.0	1.321	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
80.78399999999999	13.401	3_true_negate	0.0	3.6910000000000003	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
94.185	13.887	3_false_negate	1.0	4.251	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
108.072	3.8960000000000004	control	1.0	0.615	n/a	n/a	n/a	n/a	n/a
111.96799999999999	11.383	2_true_affirm	1.0	2.135	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
123.351	6.476	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
129.827	11.595	3_true_negate	1.0	2.345	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
141.422	3.51	control	1.0	0.6829999999999999	n/a	n/a	n/a	n/a	n/a
144.93200000000002	3.9789999999999996	control	1.0	0.34700000000000003	n/a	n/a	n/a	n/a	n/a
148.911	4.052	control	1.0	0.38	n/a	n/a	n/a	n/a	n/a
152.963	12.155	2_true_affirm	1.0	2.427	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
165.118	11.800999999999998	2_true_affirm	1.0	2.076	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
176.919	10.658	2_true_negate	1.0	1.795	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
187.577	3.897	control	1.0	0.618	n/a	n/a	n/a	n/a	n/a
191.47400000000002	11.460999999999999	3_true_affirm	1.0	2.1390000000000002	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
202.935	11.372	2_false_affirm	1.0	2.525	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
214.30700000000002	3.594	control	1.0	0.706	n/a	n/a	n/a	n/a	n/a
217.90099999999998	10.593	2_true_affirm	1.0	1.69	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
228.49400000000003	11.405999999999999	2_false_negate	0.0	2.154	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
239.9	3.502	control	1.0	0.667	n/a	n/a	n/a	n/a	n/a
