onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	13.377	2_true_negate	1.0	4.131	Fay is taller than Lou	Lou is taller than Ann	Ann is taller than Red	Red is not taller than Fay	Fay_3_true_negate.wav
13.377	4.101	control	1.0	0.423	n/a	n/a	n/a	n/a	n/a
17.477999999999998	10.816	2_true_affirm	1.0	1.117	Flo is faster than Ken	Ken is faster than Van	Van is faster than Pam	Flo is faster than Van	Flo_2_true_affirm.wav
28.294	11.746	2_false_negate	1.0	2.0780000000000003	Dot is older than Emm	Emm is older than Lug	Lug is older than Gil	Dot is not older than Gil 	Dot_3_false_negate.wav
40.04	3.651	control	1.0	0.7490000000000001	n/a	n/a	n/a	n/a	n/a
43.691	10.978	2_false_negate	1.0	2.0540000000000003	Gil is older than Cam	Cam is older than Jen	Jen is older than Ebb	Gil is not older than Jen	Gil_2_false_negate.wav
54.669	13.094	2_false_affirm	1.0	4.173	Joy is taller than Ken	Ken is taller than Wes	Wes is taller than Lee	Wes is taller than Joy	Joy_2_false_affirm.wav
67.763	11.826	2_true_affirm	1.0	2.904	Lin is shorter than May	May is shorter than Roy	Roy is shorter than Jef	Lin is shorter than Roy	Lin_2_true_affirm.wav
79.589	14.436	2_true_affirm	1.0	4.715	Mal is younger than Sol	Sol is younger than Red	Red is younger than Lee	Mal is younger than Red	Mal_2_true_affirm.wav
94.025	11.121	2_true_affirm	1.0	1.793	Jen is faster than Lou	Lou is faster than Rob	Rob is faster than Fin	Jen is faster than Rob	Jen_2_true_affirm.wav
105.146	11.537	2_true_affirm	1.0	2.221	Kai is bigger than Rey	Rey is bigger than Lon	Lon is bigger than Sal	Kai is bigger than Sal 	Kai_3_true_affirm.wav
116.683	13.667	2_false_negate	0.0	3.956	Mac is older than Flo	Flo is older than Ray	Edd is older than Mac	Mac is not older than Ray	Mac_2_false_negate.wav
130.35	12.732	2_true_affirm	1.0	3.072	Ken is younger than Gil	Gil is younger than Bab	Bab is younger than Ell	Ken is younger than Ell 	Ken_3_true_affirm.wav
143.082	3.845	control	1.0	0.557	n/a	n/a	n/a	n/a	n/a
146.92700000000005	14.059	2_false_affirm	0.0	4.417	Ike is shorter than Bob	Bob is shorter than Jon	Jon is shorter than Lex	Lex is shorter than Ike	Ike_3_false_affirm.wav
160.986	3.778	control	1.0	0.5379999999999999	n/a	n/a	n/a	n/a	n/a
164.764	3.343	control	1.0	0.517	n/a	n/a	n/a	n/a	n/a
168.107	4.045	control	1.0	0.415	n/a	n/a	n/a	n/a	n/a
172.15200000000004	4.2	control	1.0	0.51	n/a	n/a	n/a	n/a	n/a
176.352	12.538	2_true_affirm	1.0	3.2510000000000003	Cam is smaller than Ike	Ike is smaller than Bob	Bob is smaller than Doc	Cam is smaller than Doc	Cam_3_true_affirm.wav
188.89	13.609000000000002	2_false_affirm	1.0	4.705	Moe is younger than Liz	Liz is younger than Gus	Gus is younger than Ben	Ben is younger than Moe	Moe_3_false_affirm.wav
202.499	13.986	2_true_negate	1.0	4.718	Jep is shorter than Lon	Lon is shorter than Nat	Nat is shorter than Ace 	Ace is not shorter than Jep	Jep_3_true_negate.wav
216.485	4.697	control	1.0	1.808	n/a	n/a	n/a	n/a	n/a
221.182	14.043	2_true_negate	1.0	4.807	Fil is faster than Luk	Luk is faster than Dan	Dan is faster than Ace	Dan is not faster than Fil	Fil_2_true_negate.wav
235.225	3.777	control	1.0	0.507	n/a	n/a	n/a	n/a	n/a
239.002	10.268	2_true_affirm	1.0	1.338	Dre is taller than Kay	Kay is taller than Lug	Lug is taller than Joi	Dre is taller than Joi	Dre_3_true_affirm.wav
249.27	11.339	2_true_affirm	1.0	2.492	Don is slower than Jan	Jan is slower than Val	Val is slower than Mac	Don is slower than Val	Don_2_true_affirm2.wav
