onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.093	2_true_affirm	1.0	1.176	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.093	10.105	3_true_affirm	1.0	0.7809999999999999	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
20.198	10.475	3_false_negate	1.0	1.15	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
30.673000000000002	11.181	2_false_affirm	0.0	1.4769999999999999	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
41.854	10.16	3_false_affirm	0.0	1.321	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
52.013999999999996	4.19	control	1.0	0.496	n/a	n/a	n/a	n/a	n/a
56.20399999999999	9.933	3_true_affirm	1.0	1.026	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
66.137	10.847999999999999	3_true_affirm	1.0	1.138	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
76.985	10.904000000000002	3_true_negate	0.0	1.193	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
87.889	12.353	3_false_negate	0.0	2.7089999999999996	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
100.242	3.7680000000000002	control	1.0	0.469	n/a	n/a	n/a	n/a	n/a
104.01	10.491	2_true_affirm	1.0	1.2409999999999999	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
114.501	3.7689999999999997	control	1.0	0.496	n/a	n/a	n/a	n/a	n/a
118.27	10.775	3_true_negate	1.0	1.525	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
129.045	3.343	control	1.0	0.509	n/a	n/a	n/a	n/a	n/a
132.388	3.9960000000000004	control	1.0	0.363	n/a	n/a	n/a	n/a	n/a
136.384	4.077	control	1.0	0.41600000000000004	n/a	n/a	n/a	n/a	n/a
140.461	10.777999999999999	2_true_affirm	1.0	1.058	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
151.239	10.783	2_true_affirm	1.0	1.065	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
162.02200000000002	10.453	2_true_negate	1.0	1.598	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
172.475	3.7430000000000003	control	1.0	0.47	n/a	n/a	n/a	n/a	n/a
176.218	10.380999999999998	3_true_affirm	1.0	1.067	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
186.59900000000002	9.965	2_false_affirm	1.0	1.129	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
196.56400000000002	3.339	control	1.0	0.451	n/a	n/a	n/a	n/a	n/a
199.903	9.943	2_true_affirm	1.0	1.02	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
209.84599999999998	10.389000000000001	2_false_negate	1.0	1.121	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
220.235	3.335	control	1.0	0.513	n/a	n/a	n/a	n/a	n/a
