onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	12.404000000000002	2_true_negate	1.0	3.168	Fay is taller than Lou	Lou is taller than Ann	Ann is taller than Red	Red is not taller than Fay	Fay_3_true_negate.wav
12.404000000000002	4.1160000000000005	control	1.0	0.418	n/a	n/a	n/a	n/a	n/a
16.52	11.439	2_true_affirm	1.0	1.74	Flo is faster than Ken	Ken is faster than Van	Van is faster than Pam	Flo is faster than Van	Flo_2_true_affirm.wav
27.959	12.897	2_false_negate	1.0	3.237	Dot is older than Emm	Emm is older than Lug	Lug is older than Gil	Dot is not older than Gil 	Dot_3_false_negate.wav
40.856	3.37	control	1.0	0.473	n/a	n/a	n/a	n/a	n/a
44.226000000000006	11.629	2_false_negate	1.0	2.709	Gil is older than Cam	Cam is older than Jen	Jen is older than Ebb	Gil is not older than Jen	Gil_2_false_negate.wav
55.855	11.787	2_false_affirm	1.0	2.861	Joy is taller than Ken	Ken is taller than Wes	Wes is taller than Lee	Wes is taller than Joy	Joy_2_false_affirm.wav
67.642	10.591	2_true_affirm	1.0	1.6780000000000002	Lin is shorter than May	May is shorter than Roy	Roy is shorter than Jef	Lin is shorter than Roy	Lin_2_true_affirm.wav
78.233	12.192	2_true_affirm	1.0	2.49	Mal is younger than Sol	Sol is younger than Red	Red is younger than Lee	Mal is younger than Red	Mal_2_true_affirm.wav
90.425	11.338	2_true_affirm	1.0	2.03	Jen is faster than Lou	Lou is faster than Rob	Rob is faster than Fin	Jen is faster than Rob	Jen_2_true_affirm.wav
101.763	11.203	2_true_affirm	1.0	1.887	Kai is bigger than Rey	Rey is bigger than Lon	Lon is bigger than Sal	Kai is bigger than Sal 	Kai_3_true_affirm.wav
112.966	12.757	2_false_negate	1.0	3.053	Mac is older than Flo	Flo is older than Ray	Edd is older than Mac	Mac is not older than Ray	Mac_2_false_negate.wav
125.723	11.941	2_true_affirm	1.0	2.2880000000000003	Ken is younger than Gil	Gil is younger than Bab	Bab is younger than Ell	Ken is younger than Ell 	Ken_3_true_affirm.wav
137.664	3.751	control	1.0	0.465	n/a	n/a	n/a	n/a	n/a
141.415	11.311	2_false_affirm	0.0	1.658	Ike is shorter than Bob	Bob is shorter than Jon	Jon is shorter than Lex	Lex is shorter than Ike	Ike_3_false_affirm.wav
152.726	3.661	control	1.0	0.428	n/a	n/a	n/a	n/a	n/a
156.387	3.276	control	1.0	0.446	n/a	n/a	n/a	n/a	n/a
159.66299999999995	4.096	control	1.0	0.472	n/a	n/a	n/a	n/a	n/a
163.759	4.099	control	1.0	0.408	n/a	n/a	n/a	n/a	n/a
167.858	11.06	2_true_affirm	1.0	1.757	Cam is smaller than Ike	Ike is smaller than Bob	Bob is smaller than Doc	Cam is smaller than Doc	Cam_3_true_affirm.wav
178.918	12.549	2_false_affirm	1.0	3.628	Moe is younger than Liz	Liz is younger than Gus	Gus is younger than Ben	Ben is younger than Moe	Moe_3_false_affirm.wav
191.467	13.883	2_true_negate	0.0	4.627	Jep is shorter than Lon	Lon is shorter than Nat	Nat is shorter than Ace 	Ace is not shorter than Jep	Jep_3_true_negate.wav
205.35	3.279	control	1.0	0.403	n/a	n/a	n/a	n/a	n/a
208.629	12.937	2_true_negate	1.0	3.701	Fil is faster than Luk	Luk is faster than Dan	Dan is faster than Ace	Dan is not faster than Fil	Fil_2_true_negate.wav
221.566	3.733	control	1.0	0.462	n/a	n/a	n/a	n/a	n/a
225.299	11.962	2_true_affirm	1.0	3.0380000000000003	Dre is taller than Kay	Kay is taller than Lug	Lug is taller than Joi	Dre is taller than Joi	Dre_3_true_affirm.wav
237.261	10.876	2_true_affirm	1.0	2.0380000000000003	Don is slower than Jan	Jan is slower than Val	Val is slower than Mac	Don is slower than Val	Don_2_true_affirm2.wav
