onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	11.284	2_true_negate	0.0	2.03	Fay is taller than Lou	Lou is taller than Ann	Ann is taller than Red	Red is not taller than Fay	Fay_3_true_negate.wav
11.284	4.256	control	1.0	0.589	n/a	n/a	n/a	n/a	n/a
15.54	11.265999999999998	2_true_affirm	1.0	1.5630000000000002	Flo is faster than Ken	Ken is faster than Van	Van is faster than Pam	Flo is faster than Van	Flo_2_true_affirm.wav
26.806	11.475	2_false_negate	1.0	1.829	Dot is older than Emm	Emm is older than Lug	Lug is older than Gil	Dot is not older than Gil 	Dot_3_false_negate.wav
38.281	3.43	control	1.0	0.534	n/a	n/a	n/a	n/a	n/a
41.71100000000001	10.66	2_false_negate	1.0	1.734	Gil is older than Cam	Cam is older than Jen	Jen is older than Ebb	Gil is not older than Jen	Gil_2_false_negate.wav
52.371	11.011	2_false_affirm	1.0	2.107	Joy is taller than Ken	Ken is taller than Wes	Wes is taller than Lee	Wes is taller than Joy	Joy_2_false_affirm.wav
63.382	10.515999999999998	2_true_affirm	1.0	1.615	Lin is shorter than May	May is shorter than Roy	Roy is shorter than Jef	Lin is shorter than Roy	Lin_2_true_affirm.wav
73.898	11.431	2_true_affirm	1.0	1.705	Mal is younger than Sol	Sol is younger than Red	Red is younger than Lee	Mal is younger than Red	Mal_2_true_affirm.wav
85.329	10.896	2_true_affirm	1.0	1.58	Jen is faster than Lou	Lou is faster than Rob	Rob is faster than Fin	Jen is faster than Rob	Jen_2_true_affirm.wav
96.225	10.66	2_true_affirm	1.0	1.337	Kai is bigger than Rey	Rey is bigger than Lon	Lon is bigger than Sal	Kai is bigger than Sal 	Kai_3_true_affirm.wav
106.885	13.224	2_false_negate	1.0	3.529	Mac is older than Flo	Flo is older than Ray	Edd is older than Mac	Mac is not older than Ray	Mac_2_false_negate.wav
120.109	11.033	2_true_affirm	1.0	1.396	Ken is younger than Gil	Gil is younger than Bab	Bab is younger than Ell	Ken is younger than Ell 	Ken_3_true_affirm.wav
131.142	3.748	control	1.0	0.476	n/a	n/a	n/a	n/a	n/a
134.89	11.514	2_false_affirm	1.0	1.871	Ike is shorter than Bob	Bob is shorter than Jon	Jon is shorter than Lex	Lex is shorter than Ike	Ike_3_false_affirm.wav
146.404	3.661	control	1.0	0.442	n/a	n/a	n/a	n/a	n/a
150.065	3.26	control	1.0	0.447	n/a	n/a	n/a	n/a	n/a
153.325	4.062	control	1.0	0.428	n/a	n/a	n/a	n/a	n/a
157.387	4.105	control	1.0	0.405	n/a	n/a	n/a	n/a	n/a
161.49200000000005	10.784	2_true_affirm	1.0	1.476	Cam is smaller than Ike	Ike is smaller than Bob	Bob is smaller than Doc	Cam is smaller than Doc	Cam_3_true_affirm.wav
172.27599999999995	10.677	2_false_affirm	1.0	1.742	Moe is younger than Liz	Liz is younger than Gus	Gus is younger than Ben	Ben is younger than Moe	Moe_3_false_affirm.wav
182.953	12.380999999999998	2_true_negate	1.0	3.13	Jep is shorter than Lon	Lon is shorter than Nat	Nat is shorter than Ace 	Ace is not shorter than Jep	Jep_3_true_negate.wav
195.334	3.337	control	1.0	0.456	n/a	n/a	n/a	n/a	n/a
198.671	12.343	2_true_negate	1.0	3.092	Fil is faster than Luk	Luk is faster than Dan	Dan is faster than Ace	Dan is not faster than Fil	Fil_2_true_negate.wav
211.014	3.791	control	1.0	0.52	n/a	n/a	n/a	n/a	n/a
214.805	10.535	2_true_affirm	1.0	1.606	Dre is taller than Kay	Kay is taller than Lug	Lug is taller than Joi	Dre is taller than Joi	Dre_3_true_affirm.wav
225.34	10.64	2_true_affirm	1.0	1.809	Don is slower than Jan	Jan is slower than Val	Val is slower than Mac	Don is slower than Val	Don_2_true_affirm2.wav
