onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	11.351	2_true_negate	1.0	2.115	Fay is taller than Lou	Lou is taller than Ann	Ann is taller than Red	Red is not taller than Fay	Fay_3_true_negate.wav
11.351	4.198	control	1.0	0.523	n/a	n/a	n/a	n/a	n/a
15.549	11.459	2_true_affirm	1.0	1.76	Flo is faster than Ken	Ken is faster than Van	Van is faster than Pam	Flo is faster than Van	Flo_2_true_affirm.wav
27.008000000000006	11.341	2_false_negate	1.0	1.6980000000000002	Dot is older than Emm	Emm is older than Lug	Lug is older than Gil	Dot is not older than Gil 	Dot_3_false_negate.wav
38.349	3.455	control	1.0	0.578	n/a	n/a	n/a	n/a	n/a
41.804	11.111	2_false_negate	1.0	2.19	Gil is older than Cam	Cam is older than Jen	Jen is older than Ebb	Gil is not older than Jen	Gil_2_false_negate.wav
52.915	10.835	2_false_affirm	1.0	1.919	Joy is taller than Ken	Ken is taller than Wes	Wes is taller than Lee	Wes is taller than Joy	Joy_2_false_affirm.wav
63.75	10.483	2_true_affirm	1.0	1.5630000000000002	Lin is shorter than May	May is shorter than Roy	Roy is shorter than Jef	Lin is shorter than Roy	Lin_2_true_affirm.wav
74.233	11.189	2_true_affirm	1.0	1.47	Mal is younger than Sol	Sol is younger than Red	Red is younger than Lee	Mal is younger than Red	Mal_2_true_affirm.wav
85.42200000000003	10.904000000000002	2_true_affirm	1.0	1.615	Jen is faster than Lou	Lou is faster than Rob	Rob is faster than Fin	Jen is faster than Rob	Jen_2_true_affirm.wav
96.326	11.362	2_true_affirm	1.0	2.045	Kai is bigger than Rey	Rey is bigger than Lon	Lon is bigger than Sal	Kai is bigger than Sal 	Kai_3_true_affirm.wav
107.688	11.93	2_false_negate	0.0	2.219	Mac is older than Flo	Flo is older than Ray	Edd is older than Mac	Mac is not older than Ray	Mac_2_false_negate.wav
119.618	11.191	2_true_affirm	1.0	1.521	Ken is younger than Gil	Gil is younger than Bab	Bab is younger than Ell	Ken is younger than Ell 	Ken_3_true_affirm.wav
130.809	3.715	control	1.0	0.43	n/a	n/a	n/a	n/a	n/a
134.524	13.102	2_false_affirm	1.0	3.471	Ike is shorter than Bob	Bob is shorter than Jon	Jon is shorter than Lex	Lex is shorter than Ike	Ike_3_false_affirm.wav
147.626	3.628	control	1.0	0.412	n/a	n/a	n/a	n/a	n/a
151.254	3.176	control	1.0	0.341	n/a	n/a	n/a	n/a	n/a
154.43	3.978	control	1.0	0.35	n/a	n/a	n/a	n/a	n/a
158.408	4.0710000000000015	control	1.0	0.395	n/a	n/a	n/a	n/a	n/a
162.47899999999996	10.977	2_true_affirm	1.0	1.675	Cam is smaller than Ike	Ike is smaller than Bob	Bob is smaller than Doc	Cam is smaller than Doc	Cam_3_true_affirm.wav
173.456	10.543	2_false_affirm	1.0	1.645	Moe is younger than Liz	Liz is younger than Gus	Gus is younger than Ben	Ben is younger than Moe	Moe_3_false_affirm.wav
183.999	11.186	2_true_negate	1.0	1.931	Jep is shorter than Lon	Lon is shorter than Nat	Nat is shorter than Ace 	Ace is not shorter than Jep	Jep_3_true_negate.wav
195.185	3.305	control	1.0	0.433	n/a	n/a	n/a	n/a	n/a
198.49	11.339	2_true_negate	1.0	2.08	Fil is faster than Luk	Luk is faster than Dan	Dan is faster than Ace	Dan is not faster than Fil	Fil_2_true_negate.wav
209.829	3.709	control	1.0	0.4320000000000001	n/a	n/a	n/a	n/a	n/a
213.538	10.611	2_true_affirm	1.0	1.702	Dre is taller than Kay	Kay is taller than Lug	Lug is taller than Joi	Dre is taller than Joi	Dre_3_true_affirm.wav
224.149	10.396	2_true_affirm	1.0	1.551	Don is slower than Jan	Jan is slower than Val	Val is slower than Mac	Don is slower than Val	Don_2_true_affirm2.wav
