onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.184	2_true_affirm	1.0	1.28	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.184	10.189	3_true_affirm	1.0	0.879	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
20.373	10.617	3_false_negate	1.0	1.307	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
30.99	11.005999999999998	2_false_affirm	0.0	1.2930000000000001	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
41.996	10.443	3_false_affirm	0.0	1.597	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
52.43899999999999	4.207	control	1.0	0.517	n/a	n/a	n/a	n/a	n/a
56.646	9.958	3_true_affirm	1.0	1.053	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
66.604	11.097999999999999	3_true_affirm	1.0	1.37	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
77.702	11.339	3_true_negate	1.0	1.6569999999999998	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
89.041	11.609000000000002	3_false_negate	0.0	1.959	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
100.65	3.7769999999999997	control	1.0	0.505	n/a	n/a	n/a	n/a	n/a
104.427	10.449000000000002	2_true_affirm	1.0	1.21	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
114.876	3.719	control	1.0	0.43	n/a	n/a	n/a	n/a	n/a
118.595	10.690999999999999	3_true_negate	1.0	1.431	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
129.286	3.26	control	1.0	0.428	n/a	n/a	n/a	n/a	n/a
132.546	3.9610000000000003	control	1.0	0.34299999999999997	n/a	n/a	n/a	n/a	n/a
136.507	4.062	control	1.0	0.386	n/a	n/a	n/a	n/a	n/a
140.569	10.318	2_true_affirm	1.0	0.599	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
150.887	10.716	2_true_affirm	1.0	1.005	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
161.60299999999998	10.294	2_true_negate	1.0	1.4569999999999999	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
171.89700000000002	3.827	control	1.0	0.536	n/a	n/a	n/a	n/a	n/a
175.72400000000002	10.364	3_true_affirm	1.0	1.051	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
186.088	10.132	2_false_affirm	1.0	1.2890000000000001	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
196.22	3.389	control	1.0	0.502	n/a	n/a	n/a	n/a	n/a
199.609	9.892999999999999	2_true_affirm	1.0	0.992	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
209.502	10.456	2_false_negate	1.0	1.2	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
219.958	3.3510000000000004	control	1.0	0.525	n/a	n/a	n/a	n/a	n/a
