onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.982999999999999	2_true_affirm	1.0	1.265	All trabs are fast	All fast things are brown	Abe is a trab	Abe is fast	TRAB_2_true_affirm.wav
10.982999999999999	11.062000000000001	3_true_affirm	1.0	1.344	All hofs are black	All black things are fast	Doc is a hof	Doc is fast	HOF_3_true_affirm.wav
22.045	10.472999999999999	3_true_affirm	1.0	1.159	All jasps are small	All small things are blue	Jen is a jasp	Jen is blue	JASP_3_true_affirm.wav
32.518	10.270999999999999	2_true_affirm	1.0	0.9570000000000001	All nasps are young	All young things are red	Wes is a nasp	Wes is young 	NASP_2_true_affirm.wav
42.788999999999994	11.442	3_true_negate	1.0	1.7309999999999999	All drups are white	All white things are young	Moe is not white	Moe is not a drup	DRUP_3_true_negate.wav
54.231	10.525	2_false_negate	0.0	1.6280000000000001	All goms are black	All black things are fast	Max is not a gom	Max is not black	GOM_2_false_negate.wav
64.756	9.998	3_false_affirm	1.0	1.156	All gofs are red	All red things are small	Ned is not small	Ned is a gof	GOF_3_false_affirm.wav
74.75399999999999	3.7289999999999996	control	1.0	0.826	n/a	n/a	n/a	n/a	n/a
78.483	11.784	2_true_negate	1.0	2.535	All dreefs are red	All red things are short	Eve is not red	Eve is not a dreef	DREEF_2_true_negate.wav
90.26700000000001	3.327	control	1.0	0.49700000000000005	n/a	n/a	n/a	n/a	n/a
93.594	4.131	control	1.0	0.44	n/a	n/a	n/a	n/a	n/a
97.725	10.350999999999999	2_false_affirm	1.0	1.031	All karns are big	All big things are brown	Nat is not big	Nat is a karn	KARN_2_false_affirm.wav
108.07600000000001	10.749	3_true_affirm	1.0	1.432	All larns are white	All white things are tall	Bud is a larn	Bud is tall	LARN_3_true_affirm.wav
118.825	11.819	3_false_negate	0.0	2.092	All gorns are blue	All blue things are fast	Cam is not a gorn	Cam is not fast 	GORN_3_false_negate.wav
130.644	10.773	2_true_affirm	1.0	1.829	All blons are pink	All pink things are young	Ken is a blon	Ken is pink  	BLON_2_true_affirm.wav
141.417	9.899	3_true_affirm	1.0	1.056	All keefs are white	All white things are small	Jay is a keef	Jay is small	KEEF_3_true_affirm.wav
151.316	3.343	control	1.0	0.511	n/a	n/a	n/a	n/a	n/a
154.659	3.7489999999999997	control	1.0	0.447	n/a	n/a	n/a	n/a	n/a
158.408	10.945	3_false_affirm	1.0	1.7109999999999999	All rabs are old	All old things are blue	Sam is not blue	Sam is a rab	RAB_3_false_affirm.wav
169.35299999999998	3.945	control	1.0	0.7170000000000001	n/a	n/a	n/a	n/a	n/a
173.298	3.695	control	1.0	0.45899999999999996	n/a	n/a	n/a	n/a	n/a
176.993	4.186	control	1.0	0.473	n/a	n/a	n/a	n/a	n/a
181.179	10.038	3_true_affirm	1.0	1.1059999999999999	All puds are red	All red things are old	Roy is a pud	Roy is old 	PUD_3_true_affirm.wav
191.217	11.075999999999999	2_true_affirm	1.0	1.365	All nogs are young 	All young things are black	Rob is a nog	Rob is young	NOG_2_true_affirm.wav
202.293	11.844000000000001	2_true_negate	1.0	2.1790000000000003	All babs are slow	All slow things are blue	Joe is not slow	Joe is not a bab	BAB_2_true_negate.wav
214.137	4.226	control	1.0	0.52	n/a	n/a	n/a	n/a	n/a
218.363	10.158999999999999	2_false_negate	1.0	1.327	All sarns are old	All old things are white	Flo is a sarn	Flo is not old	SARN_2_false_negate.wav
